timestamp ba_x ba_y ba_z bg_x bg_y bg_z
170.140000 -0.00095480 0.00049393 0.01808299 -0.00013550 0.00050214 0.00002477
170.205000 -0.00092718 0.00055477 0.01470544 -0.00006899 -0.00037667 0.00044345
170.274000 -0.00085153 0.00064667 0.00948960 -0.00014206 -0.00041417 0.00037558
170.338000 -0.00084157 0.00066510 0.00877441 -0.00006494 -0.00037288 0.00029319
170.406000 -0.00085507 0.00065894 0.00979180 0.00001607 -0.00038150 0.00020890
170.486000 -0.00085442 0.00067571 0.00897272 0.00009596 -0.00039394 0.00011859
170.538000 -0.00086651 0.00067962 0.00896224 0.00010700 -0.00034065 0.00008905
170.603000 -0.00088039 0.00068111 0.00887256 0.00004458 -0.00026584 0.00008141
170.669000 -0.00089505 0.00068375 0.00959976 -0.00004247 -0.00027824 0.00006760
170.735000 -0.00092244 0.00068065 0.01010077 -0.00007567 -0.00032507 0.00005046
170.806000 -0.00094773 0.00066988 0.01043738 -0.00008856 -0.00030879 -0.00000546
170.873000 -0.00102955 0.00066862 0.01024506 -0.00009189 -0.00024578 0.00002976
170.942000 -0.00105653 0.00066994 0.00994993 -0.00006637 -0.00017745 0.00002298
171.004000 -0.00107021 0.00068878 0.01021155 -0.00010243 -0.00024998 -0.00003470
171.079000 -0.00112855 0.00067998 0.00971427 -0.00008200 -0.00025201 -0.00007904
171.140000 -0.00139867 0.00064205 0.01000121 -0.00005284 -0.00017143 -0.00006591
171.205000 -0.00161578 0.00058513 0.00984187 0.00003466 -0.00013372 0.00000448
171.274000 -0.00182499 0.00053759 0.01004700 0.00005383 -0.00013370 0.00004598
171.357000 -0.00203820 0.00047280 0.00939078 0.00001850 -0.00010048 0.00004985
171.425000 -0.00230535 0.00043305 0.00977123 0.00002261 -0.00009454 0.00004934
171.482000 -0.00270593 0.00036557 0.00939863 0.00003376 -0.00010452 0.00007577
171.541000 -0.00300541 0.00028871 0.00931954 0.00003707 -0.00005248 0.00005276
171.613000 -0.00342278 0.00020497 0.00944690 0.00004706 -0.00004413 0.00002733
171.672000 -0.00398285 0.00015525 0.00917816 0.00006135 -0.00005471 0.00008953
171.739000 -0.00440130 0.00005524 0.00907597 0.00006558 -0.00004852 0.00009904
171.803000 -0.00500576 -0.00003639 0.00909641 0.00003549 -0.00006125 0.00008308
171.870000 -0.00568565 -0.00014746 0.00928146 0.00001377 -0.00012128 0.00008301
171.937000 -0.00661114 -0.00020205 0.00898148 0.00002891 -0.00016542 0.00009919
172.003000 -0.00716955 -0.00028594 0.00874897 0.00002680 -0.00015844 0.00011559
172.070000 -0.00766520 -0.00030448 0.00863246 0.00001570 -0.00014611 0.00010572
172.137000 -0.00826927 -0.00034980 0.00850675 0.00002782 -0.00014919 0.00008390
172.203000 -0.00967109 -0.00050175 0.00836446 0.00003199 -0.00013544 0.00012943
172.272000 -0.01058940 -0.00065469 0.00821922 0.00001734 -0.00010760 0.00016844
172.336000 -0.01143928 -0.00087643 0.00831812 -0.00000193 -0.00008743 0.00017066
172.404000 -0.01232926 -0.00106373 0.00836603 -0.00002613 -0.00010198 0.00014842
172.471000 -0.01339049 -0.00125451 0.00823697 -0.00004449 -0.00010096 0.00012314
172.537000 -0.01422952 -0.00144409 0.00845013 -0.00004860 -0.00013095 0.00011482
172.603000 -0.01536144 -0.00141540 0.00789598 -0.00007296 -0.00014949 0.00008377
172.672000 -0.01609659 -0.00156252 0.00776138 -0.00007420 -0.00013477 0.00003373
172.737000 -0.01745478 -0.00183912 0.00796957 -0.00003368 -0.00014935 0.00002243
172.804000 -0.01859299 -0.00198997 0.00774044 0.00001112 -0.00015649 0.00006339
172.870000 -0.02051049 -0.00193100 0.00733642 -0.00000965 -0.00012640 0.00005761
172.935000 -0.02170746 -0.00196075 0.00753224 -0.00000183 -0.00013395 0.00009830
173.004000 -0.02317573 -0.00193531 0.00708885 -0.00002278 -0.00009223 0.00012013
173.073000 -0.02409769 -0.00187525 0.00723524 -0.00006419 -0.00003565 0.00010794
173.135000 -0.02512086 -0.00215324 0.00740620 -0.00010329 -0.00003368 0.00007972
