timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1999.344000 0.00000592 -0.00000105 -0.00083091 0.00063953 -0.00011050 0.00019181
1999.408000 -0.00000261 -0.00002203 -0.00092458 0.00059676 -0.00015465 0.00025415
1999.536000 -0.00001117 -0.00005113 -0.00001263 0.00052332 -0.00023687 0.00031422
1999.748000 0.00001206 -0.00008468 0.00057036 0.00052440 -0.00025184 0.00030169
1999.904000 0.00021149 -0.00016153 0.00087985 0.00050767 -0.00021853 0.00036279
2000.044000 0.00027454 -0.00016648 0.00116096 0.00049568 -0.00022576 0.00039167
2000.252000 0.00077428 -0.00025852 0.00190435 0.00054082 -0.00029764 0.00042899
2000.320000 0.00136769 -0.00042035 0.00136030 0.00054026 -0.00030128 0.00040948
2000.416000 0.00171140 -0.00056138 0.00125711 0.00055272 -0.00030249 0.00040323
2000.488000 0.00195647 -0.00069339 0.00128324 0.00056609 -0.00031987 0.00039523
2000.592000 0.00212585 -0.00078070 0.00117359 0.00055975 -0.00029778 0.00038683
2000.732000 0.00229801 -0.00091751 0.00114257 0.00054902 -0.00026626 0.00038371
2000.864000 0.00269657 -0.00120913 0.00127542 0.00053211 -0.00026325 0.00037394
2000.960000 0.00302081 -0.00156923 0.00123167 0.00051935 -0.00027224 0.00036638
2001.068000 0.00339389 -0.00212909 0.00132316 0.00049730 -0.00025305 0.00036404
2001.136000 0.00417655 -0.00280829 0.00140145 0.00049911 -0.00025114 0.00035937
2001.200000 0.00520198 -0.00350840 0.00142944 0.00050019 -0.00024745 0.00034199
2001.440000 0.00578404 -0.00541847 0.00104241 0.00050451 -0.00023612 0.00028719
2001.584000 0.00634582 -0.00774287 0.00090662 0.00048598 -0.00025368 0.00025868
2001.648000 0.00649642 -0.00807465 0.00084987 0.00047925 -0.00026259 0.00026479
2001.856000 0.00653960 -0.00877666 0.00034096 0.00049894 -0.00025079 0.00026262
2001.964000 0.00649328 -0.00942167 -0.00001265 0.00049629 -0.00023490 0.00026634
2002.064000 0.00646689 -0.01010142 -0.00003730 0.00046659 -0.00021557 0.00026563
2002.204000 0.00667899 -0.01161792 0.00005891 0.00043836 -0.00023129 0.00027149
2002.368000 0.00670784 -0.01241191 -0.00011910 0.00043159 -0.00024716 0.00025982
2002.440000 0.00677917 -0.01312276 -0.00023874 0.00042884 -0.00023702 0.00025542
2002.508000 0.00720135 -0.01591215 -0.00028874 0.00042725 -0.00022039 0.00025597
2002.580000 0.00741840 -0.01734455 -0.00044139 0.00042635 -0.00021583 0.00025783
2002.752000 0.00707942 -0.02006829 -0.00106357 0.00043669 -0.00021448 0.00023531
2002.860000 0.00675815 -0.02267113 -0.00127114 0.00043213 -0.00021055 0.00023447
2002.928000 0.00669310 -0.02346129 -0.00141081 0.00042315 -0.00021388 0.00024050
2003.028000 0.00644941 -0.02511708 -0.00158703 0.00041574 -0.00020965 0.00023975
2003.168000 0.00620945 -0.02605293 -0.00184755 0.00041081 -0.00022379 0.00025025
2003.232000 0.00631505 -0.02681613 -0.00169311 0.00038884 -0.00023854 0.00025621
2003.340000 0.00615645 -0.02768411 -0.00205765 0.00038894 -0.00022927 0.00026273
2003.524000 0.00569739 -0.02860908 -0.00273791 0.00038239 -0.00021579 0.00026768
2003.628000 0.00523785 -0.02949166 -0.00279583 0.00037127 -0.00021913 0.00029003
2003.868000 0.00432282 -0.03177448 -0.00295747 0.00037042 -0.00026264 0.00034308
2003.932000 0.00389847 -0.03415942 -0.00264260 0.00038206 -0.00027630 0.00035064
2004.032000 0.00361112 -0.03966293 -0.00279535 0.00038832 -0.00027296 0.00035266
2004.140000 0.00361797 -0.04379459 -0.00282393 0.00038884 -0.00026654 0.00037001
2004.212000 0.00535011 -0.04860882 -0.00230633 0.00038945 -0.00025370 0.00038212
2004.348000 0.00589294 -0.05447072 -0.00288265 0.00038458 -0.00023452 0.00038296
2004.412000 0.00652502 -0.05580878 -0.00247627 0.00037569 -0.00024130 0.00038500
2004.544000 0.00671239 -0.06237887 -0.00308827 0.00036851 -0.00024326 0.00039810
2004.860000 0.00551392 -0.06981875 -0.00343271 0.00037402 -0.00024051 0.00044449
2004.928000 0.00591920 -0.07154350 -0.00299312 0.00036143 -0.00024476 0.00045701
2005.032000 0.00638446 -0.07897835 -0.00326307 0.00035874 -0.00023996 0.00045512
2005.172000 0.00602474 -0.08786669 -0.00333728 0.00035915 -0.00024145 0.00046356
2005.308000 0.00553810 -0.09565810 -0.00336421 0.00034948 -0.00024339 0.00047922
2005.372000 0.00634433 -0.09952186 -0.00292411 0.00033941 -0.00024423 0.00048579
2005.512000 0.00680481 -0.11103250 -0.00321224 0.00034103 -0.00023921 0.00048753
2005.612000 0.00766886 -0.11579320 -0.00298275 0.00034400 -0.00024162 0.00049107
2005.780000 0.00720622 -0.13066773 -0.00312545 0.00033845 -0.00023668 0.00051080
2005.896000 0.00782722 -0.14465892 -0.00298708 0.00033339 -0.00023623 0.00051728
2005.964000 0.00938002 -0.14947587 -0.00264961 0.00033089 -0.00024526 0.00051507
2006.072000 0.01098575 -0.15661473 -0.00272501 0.00033052 -0.00024206 0.00052100
2006.140000 0.01348866 -0.16144643 -0.00232761 0.00031903 -0.00025051 0.00053123
2006.204000 0.01770639 -0.16736996 -0.00191520 0.00031475 -0.00026881 0.00054607
2006.300000 0.02641265 -0.18297784 -0.00190575 0.00031766 -0.00026859 0.00055957
2006.400000 0.02973393 -0.19041728 -0.00182983 0.00031130 -0.00026885 0.00056777
2006.572000 0.03422796 -0.21359438 -0.00166170 0.00031187 -0.00027035 0.00056902
2006.844000 0.03681653 -0.24069226 -0.00110680 0.00030555 -0.00027365 0.00058068
2006.952000 0.03902932 -0.24835821 -0.00063044 0.00030051 -0.00027242 0.00057980
2007.196000 0.04484449 -0.27693400 -0.00020923 0.00030595 -0.00028916 0.00059539
2007.292000 0.05184602 -0.28509525 0.00083304 0.00030544 -0.00030212 0.00059847
2007.400000 0.07409562 -0.30614134 0.00174097 0.00030817 -0.00031548 0.00060137
2007.468000 0.09105751 -0.32206152 0.00256599 0.00032175 -0.00032549 0.00061249
2007.608000 0.10990765 -0.34638996 0.00327908 0.00030432 -0.00032407 0.00060342
2007.752000 0.13008258 -0.37281132 0.00457648 0.00029980 -0.00032541 0.00060364
2007.816000 0.15388670 -0.39401380 0.00614814 0.00029242 -0.00033359 0.00060705
2008.024000 0.16709936 -0.42704126 0.00691086 0.00028612 -0.00034630 0.00061382
2008.088000 0.19173043 -0.44864036 0.00918501 0.00027713 -0.00035512 0.00062721
2008.200000 0.21078103 -0.47771983 0.01049730 0.00026891 -0.00035401 0.00062993
2008.376000 0.22180059 -0.51219811 0.01183840 0.00026742 -0.00035291 0.00063127
2008.440000 0.24591177 -0.53264305 0.01431717 0.00026523 -0.00034983 0.00063409
2008.576000 0.25967325 -0.56150863 0.01563929 0.00026387 -0.00033957 0.00063692
2008.792000 0.26138501 -0.59665147 0.01703125 0.00025322 -0.00033646 0.00063624
2008.860000 0.28137546 -0.61862421 0.01997443 0.00024145 -0.00034143 0.00063769
2008.932000 0.29979505 -0.64082340 0.02197613 0.00024057 -0.00034013 0.00063613
2009.000000 0.31961352 -0.66323249 0.02415034 0.00024154 -0.00034188 0.00063573
2009.064000 0.33992565 -0.68500761 0.02644112 0.00023983 -0.00033904 0.00063791
2009.128000 0.35576337 -0.70509955 0.02854478 0.00024838 -0.00033910 0.00064642
2009.192000 0.37575131 -0.72605234 0.03093929 0.00023781 -0.00034093 0.00064632
