timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1741766479.451982 0.00002482 0.00003170 -0.00276696 0.00059332 0.00014414 0.00023424
1741766479.585330 0.00004194 0.00003018 -0.00374492 0.00067193 0.00019433 0.00027751
1741766479.718808 0.00006654 0.00002708 -0.00470456 0.00069964 0.00025491 0.00030709
1741766479.852200 0.00047203 -0.00020385 -0.00622409 0.00064765 0.00037314 0.00032761
1741766479.985833 0.00053240 -0.00024839 -0.00598558 0.00051821 0.00025462 0.00030997
1741766480.119049 0.00059532 -0.00030444 -0.00553256 0.00046159 0.00015352 0.00028427
1741766480.252511 0.00066411 -0.00036487 -0.00532215 0.00043725 0.00003182 0.00028770
1741766480.385911 0.00072981 -0.00042288 -0.00524518 0.00049876 0.00000411 0.00027588
1741766480.519346 0.00086569 -0.00055307 -0.00499598 0.00043502 -0.00006145 0.00025994
1741766480.652787 0.00100416 -0.00069784 -0.00470463 0.00040102 -0.00007019 0.00024732
1741766480.786182 0.00121859 -0.00092136 -0.00456557 0.00043657 0.00006043 0.00024482
1741766480.919755 0.00135367 -0.00109675 -0.00423405 0.00034559 -0.00003863 0.00021315
1741766481.053120 0.00162515 -0.00139181 -0.00444669 0.00032500 -0.00011762 0.00021588
1741766481.186797 0.00175099 -0.00157535 -0.00384739 0.00032042 -0.00009903 0.00021263
1741766481.319966 0.00181514 -0.00166404 -0.00386101 0.00030511 -0.00008243 0.00020335
1741766481.453328 0.00194352 -0.00184311 -0.00387109 0.00031635 -0.00007275 0.00018432
1741766481.586891 0.00207179 -0.00202225 -0.00387413 0.00027173 -0.00006838 0.00017953
1741766481.720196 0.00220483 -0.00219283 -0.00400421 0.00031504 -0.00009645 0.00018419
1741766481.853758 0.00226995 -0.00228218 -0.00395103 0.00032539 -0.00008309 0.00018340
1741766481.987201 0.00246838 -0.00256088 -0.00386860 0.00033286 -0.00006778 0.00017952
1741766482.120700 0.00259953 -0.00274014 -0.00393808 0.00033297 -0.00006062 0.00017887
1741766482.253936 0.00280036 -0.00299786 -0.00404940 0.00031778 -0.00002061 0.00016784
1741766482.388146 0.00293477 -0.00316681 -0.00414224 0.00033423 -0.00004538 0.00016102
1741766482.520983 0.00306686 -0.00333327 -0.00417116 0.00032687 -0.00004677 0.00015570
1741766482.654494 0.00319606 -0.00351200 -0.00402586 0.00031949 -0.00002297 0.00014970
1741766482.787905 0.00339212 -0.00376905 -0.00408661 0.00031139 -0.00002067 0.00015002
1741766482.921220 0.00352130 -0.00395460 -0.00396836 0.00030355 -0.00002723 0.00013683
1741766483.054598 0.00371539 -0.00424183 -0.00389083 0.00030013 -0.00002438 0.00011815
1741766483.188261 0.00384444 -0.00444522 -0.00377349 0.00028803 -0.00001489 0.00013358
1741766483.321427 0.00397714 -0.00465666 -0.00371849 0.00028506 0.00000956 0.00012152
1741766483.454946 0.00444047 -0.00548283 -0.00357023 0.00027233 0.00001445 0.00010573
1741766483.588295 0.00477116 -0.00602613 -0.00366719 0.00028426 0.00000252 0.00011511
1741766483.721669 0.00497036 -0.00635286 -0.00367033 0.00027783 0.00000288 0.00010498
1741766483.855182 0.00510473 -0.00657320 -0.00367103 0.00027247 0.00000645 0.00009712
